Liga,Nama Pemain
Premier League Inggris,16 gol: Erling Haaland (Manchester City)
Premier League Inggris,15 gol: Mohamed Salah (Liverpool)
Premier League Inggris,14 gol: Dominic Solanke (Bournemouth)
Serie A Italia,20 gol:  Lautaro Martinez (Inter Milan)
Serie A Italia,13 gol: Dusan Vlahovic (Juventus)
Serie A Italia,12 gol: Olivier Giroud (AC Milan)
La Liga Spanyol,16 gol: Jude Bellingham (Real Madrid)
La Liga Spanyol,15 gol: Borja Mayoral (Getafe)
La Liga Spanyol,14 gol: Artem Dovbyk (Girona)
Bundesliga Jerman,25 gol: Harry Kane (Bayern Munchen)
Bundesliga Jerman,18 gol: Sehrou Guirassy (Stuttgart)
Bundesliga Jerman,16 gol: Lois Openda (Leipzig)
Ligue 1 Prancis,20 gol: Kylian Mbappe (PSG)
Ligue 1 Prancis,"11 gol: Wissam Ben Yadder (Monaco), Alexandre Lacazett (Lyon), Jonathan David (Lille). (amr)"
